IATA,ICAO,Name,Country,Active
,KIZ,Kanaf-Arkia Airlines,Israel,N
,KHE,Kanfey Ha'emek Aviation,Israel,N
,KSU,Kansas State University,United States,N
V2,AKT,Karat,Russia,N
,KRB,Karibu Airways Company,Tanzania,N
,KLG,Karlog Air Charter,Denmark,N
,KAJ,Karthago Airlines,Tunisia,N
,KAE,Kartika Airlines,Indonesia,N
,KTV,Kata Transportation,Sudan,N
,KTK,Katekavia,Russia,N
,KAT,Kato Airline,Norway,N
KV,MVD,Kavminvodyavia,Russia,Y
,XKA,Kavouras Inc,United States,N
,KRN,Kaz Agros Avia,Kazakhstan,N
,KAW,Kaz Air West,Kazakhstan,N
,KAO,Kazan Aviation Production Association,Russia,N
,KPH,Kazan Helicopters,Russia,N
,KKA,Kazavia,Kazakhstan,N
,KZS,Kazaviaspas,Kazakhstan,N
,JFK,Keenair Charter -,United Kingdom,N
,KLX,Kelix Air,Nigeria,N
,FKL,Kelner Airways,Canada,N
,KFA,Kelowna Flightcraft Air Charter,Canada,N
,KDA,Kendell Airlines,Australia,Y
M5,KEN,Kenmore Air,United States,Y
,KBA,Kenn Borek Air,Canada,N
,KAH,Kent Aviation,Canada,N
KQ,KQA,Kenya Airways,Kenya,Y
,KVS,Kevis,Kazakhstan,N
,KEY,Key Airlines,United States,N
,LYM,Key Lime Air,United States,N
,FTP,Keystone Aerial Surveys,United States,N
BZ,KEE,Keystone Air Services,Canada,N
,KZW,Khalifa Airways,Algeria,N
,WKH,Kharkov Aircraft Manufacturing Company,Ukraine,N
,KHR,Khazar,Turkmenistan,N
,KHP,Khoezestan Photros Air Lines,Iran,N
,KRV,Khoriv-Avia,Ukraine,N
,KHO,Khors Aircompany,Ukraine,N
,KHY,Khyber Afghan Airlines,Afghanistan,N
,UAK,Kiev Aviation Plant,Ukraine,N
,KNG,King Aviation,United Kingdom,N
,BEZ,Kingfisher Air Services,United States,N
IT,KFR,Kingfisher Airlines,India,Y
,KNX,Knighthawk Air Express,Canada,N
,KAS,Kingston Air Services,Canada,N
,KIP,Kinnarps,Sweden,N
,KNS,Kinshasa Airways,Democratic Republic of the Congo,N
,KTA,Kirov Air Enterprise,Russia,N
Y9,IRK,Kish Air,Iran,Y
,KHA,Kitty Hawk Aircargo,United States,N
,KHC,Kitty Hawk Airways,United States,N
KP,KIA,Kiwi International Air Lines,United States,N
,KNA,Knight Air,Canada,N
,KHX,Knighthawk Express,United States,N
,KGT,Knights Airlines,Nigeria,N
,KOA,Koanda Avacion,Spain,N
,OYE,Koda International,Nigeria,N
7K,KGL,Kogalymavia Air Company,Russia,Y
,KOM,Kom Activity,Netherlands,N
,KMA,Komiaviatrans State Air Enterprise,Russia,N
8J,KMV,Komiinteravia,Russia,N
,KNM,Komsomolsk-on-Amur Air Enterprise,Russia,N
,KOB,Koob-Corp - 96 KFT,Hungary,N
KE,KAL,Korean Air,Republic of Korea,Y
,KMG,Kosmas Air,Serbia,N
,KSM,Kosmos,Russia,Y
,KOS,Kosova Airlines,Serbia,N
,WOK,Kovar Air,Czech Republic,N
7B,KJC,Krasnojarsky Airlines,Russia,Y
,KFC,Kremenchuk Flight College,Ukraine,N
,KRG,Krimaviamontag,Ukraine,N
,KRO,Kroonk Air Agency,Ukraine,N
K9,KRI,Krylo Airlines,Russia,N
,KYM,Krym,Ukraine,N
,OPC,Krystel Air Charter,United Kingdom,N
GW,KIL,Kuban Airlines,Russia,Y
VD,KPA,Kunpeng Airlines,China,N
,KZA,Kurzemes Avio,Russia,N
,KBV,Kustbevakningen,Sweden,N
KU,KAC,Kuwait Airways,Kuwait,Y
GO,KZU,Kuzu Airlines Cargo,Turkey,Y
,QVR,Kvadro Aero,Kyrgyzstan,N
,KWN,Kwena Air,South Africa,N
N5,KGZ,Kyrgyz Airlines,Kyrgyzstan,N
,KTC,Kyrgyz Trans Avia,Kyrgyzstan,N
QH,LYN,Kyrgyzstan,Kyrgyzstan,N
R8,KGA,Kyrgyzstan Airlines,Kyrgyzstan,N
,DAM,Kyrgyzstan Department of Aviation,Kyrgyzstan,N
,KGB,Kyrgz General Aviation,Kyrgyzstan,N
KY,KYV,Kibris T,Turkey,N
,LAH,L A Helicopter,United States,N
,LJY,L J Aviation,United States,N
,LRB,L R Airlines,Czech Republic,N
,PHO,L&L Flygbildteknik,Sweden,N
,LEX,L'Express,United States,N
,FNT,L-3 Communications Flight Internation Aviation,United States,N
JF,LAB,L.A.B. Flying Service,United States,N
LR,LRC,LACSA,Costa Rica,Y
,LDE,LADE - Lineas Aereas Del Estado,Argentina,N
KG,BNX,LAI - Linea Aerea IAACA,Venezuela,N
LA,LAN,LAN Airlines,Chile,Y
4M,DSM,LAN Argentina,Argentina,Y
,LCO,LAN Cargo,Chile,N
,LNC,LAN Dominica,Dominican Republic,N
LU,LXP,LAN Express,Chile,Y
LP,LPE,LAN Peru,Peru,Y
,LSA,LANSA,Dominican Republic,N
,APT,LAP Colombia - Lineas Aereas Petroleras,LAP,N
,OTN,LASTP,S,N
,LCB,LC Busre,Peru,N
LO,LOT,LOT Polish Airlines,Poland,Y
XO,LTE,LTE International Airways,Spain,Y
L3,LTO,LTU Austria,Austria,Y
LT,LTU,LTU International,Germany,N
,JFC,LTV Jet Fleet Corporation,United States,N
,LUK,LUKoil-Avia,Russia,N
,ASK,La Ronge Aviation Services,Canada,N
,LVT,La Valenciana Taxi Aereo,Mexico,N
,SKQ,Labcorp,United States,N
,LAL,Labrador Airways,Canada,N
N6,JEV,Lagun Air,Spain,N
,HCA,Lake Havasu Air Service,United States,N
,LKL,Lakeland Aviation,United States,N
,LKR,Laker Airways,United States,N
,LBH,Laker Airways (Bahamas),United States,N
,LMR,Lamra,Sudan,N
,TCR,Lanaes Aereas Trans Costa Rica,Costa Rica,N
,ISL,Landsflug,Iceland,N
,PAP,Langtry Flying Group,United Kingdom,N
IK,LKN,Lankair,Sri Lanka,N
,LZA,Lanza Air,Spain,N
,LZT,Lanzarote Aerocargo,Spain,N
,LLL,Lao Air Company,Lao Peoples Democratic Republic,N
QV,LAO,Lao Airlines,Lao Peoples Democratic Republic,Y
,LKA,Lao Capricorn Air,Lao Peoples Democratic Republic,N
L7,LPN,Laoag International Airlines,Philippines,N
,LRD,Laredo Air,United States,N
,LTC,LatCharter,Latvia,Y
,LAF,Latvian Air Force,Latvia,N
NG,LDA,Lauda Air,Austria,Y
,LDI,Lauda Air Italy,Italy,N
,LEP,Laughlin Express,United States,N
,LSU,Laus,Croatia,N
,LAR,Lawrence Aviation,United States,N
,LAY,Layang-Layang Aerospace,Malaysia,N
,LPL,Lease-a-Plane International,United States,N
LQ,LAQ,Lebanese Air Transport,Lebanon,N
,LAT,Lebanese Air Transport (Charter),Lebanon,N
,LAD,Lebanon Airport Development Corporation,United States,N
,LCA,Leconte Airlines,United States,N
LI,LIA,Leeward Islands Air Transport,Antigua and Barbuda,Y
,LGD,Legend Airlines,United States,N
,LWD,Leisure Air,United States,N
,LEN,Lentini Aviation,United States,N
,LOR,Leo-Air,South Africa,N
,LEL,Leonsa De Aviacion,Spain,N
,LYW,Libyan Airlines,Libya,N
LN,LAA,Libyan Arab Airlines,Libya,Y
,LCR,Libyan Arab Air Cargo,Libya,N
,LIQ,Lid Air,Sweden,N
,LCG,Lignes Aeriennes Congolaises,Democratic Republic of the Congo,N
,LKD,Lignes Aeriennes Du Tchad,Chad,N
,LME,Lignes Mauritaniennes Air Express,Mauritania,N
,GCB,Lignes Nationales Aeriennes - Linacongo,Republic of the Congo,N
,GDQ,Lincoln Air National Guard,United States,N
,LRT,Lincoln Airlines,Australia,N
,LSY,Lindsay Aviation,United States,N
,NOT,Linea Aerea Costa Norte,Chile,N
,LMC,Linea Aerea Mexicana de Carga,Mexico,N
L7,LNP,Linea Aerea SAPSA,Chile,N
,NEG,Linea Aerea de Fumig Aguas Negras,Chile,N
8Z,LER,Linea Aerea de Servicio Ejecutivo Regional,Venezuela,N
,LSE,Linea De Aeroservicios,Chile,N
LD,TUY,Linea Turistica Aerotuy,Venezuela,N
,ALR,Lineas Aereas Alaire S.L.,Spain,N
ZE,LCD,Lineas Aereas Azteca,Mexico,N
,LCN,Lineas Aereas Canedo LAC,Bolivia,N
,LCM,Lineas Aereas Comerciales,Mexico,N
,EDD,Lineas Aereas Ejectuivas De Durango,Mexico,N
,EDR,Lineas Aereas Eldorado,Colombia,N
,FED,Lineas Aereas Federales,Argentina,N
,LMN,Lineas Aereas Monarca,Mexico,N
,LIJ,Lineas Aereas San Jose,Mexico,N
,UMA,Lineas Aereas del Humaya,Mexico,N
,LEC,Linex,Central African Republic,N
,SMS,Linhas Aereas Santomenses,S,N
LM,LAM,Linhas A,Mozambique,Y
,LAW,Link Airways of Australia,Australia,N
,WGT,Lion Air Services,United Kingdom,N
JT,LNI,Lion Mentari Airlines,Indonesia,Y
,LEU,Lions-Air,Switzerland,N
,LYF,Lithuanian Air Force,Lithuania,N
,LRA,Little Red Air Service,Canada,N
LM,LVG,Livingston,Italy,N
LB,LLB,Lloyd Aereo Boliviano,Bolivia,N
,LNA,Lnair Air Services,Spain,N
,XLG,Lockheed Air Terminal,United States,N
,LAC,Lockeed Aircraft Corporation,United States,N
,XDD,Lockheed DUATS,United States,N
,CBD,Lockheed Martin Aeronautics,United States,N
,LNG,Lockheed Martin Aeronautics Company,United States,N
,LOG,Logan Air,United Kingdom,N
,CLV,Lom Praha Flying School,Czech Republic,N
,LMS,Lomas Helicopters,United Kingdom,N
,LCY,London City Airport Jet Centre,United Kingdom,N
,LNX,London Executive Aviation,United Kingdom,N
,LOV,London Flight Centre (Stansted),United Kingdom,N
,LHC,London Helicopter Centres,United Kingdom,N
,LSS,Lone Star Airlines,United States,N
,ORA,Long Island Airlines,United States,N
,LGT,Longtail Aviation,Bermuda,N
,LRR,Lorraine Aviation,France,N
,LSC,Los Cedros Aviacion,Chile,N
,TAS,Lotus Air,Egypt,N
,LTW,Luchtvaartmaatschappij Twente,Netherlands,N
,LKE,Lucky Air,China,N
,LUT,Luft Carago,South Africa,N
,LVD,Luftfahrt-Vermietungs-Dienst,Austria,N
HE,LGW,Luftfahrtgesellschaft Walter,Germany,Y
LH,DLH,Lufthansa,Germany,Y
LH,GEC,Lufthansa Cargo,Germany,Y
CL,CLH,Lufthansa CityLine,Germany,Y
L1,,Lufthansa Systems,Germany,N
,LHT,Lufthansa Technik,Germany,N
DV,LTF,Lufttaxi Fluggesellschaft,Germany,N
L5,LTR,Lufttransport,Norway,Y
,LHS,Luhansk,Ukraine,N
,UNY,Lund University School of Aviation,Sweden,N
LG,LGL,Luxair,Luxembourg,Y
,LXA,Luxaviation,Luxembourg,N
,LUV,Luxembourg Air Rescue,Luxembourg,N
,LFE,Luxflight Executive,Luxembourg,N
,LXO,Luxor Air,Egypt,N
,LUZ,Luzair,Portugal,N
5V,UKW,Lviv Airlines,Ukraine,N
,LYD,Lydd Air,United Kingdom,N
,LCH,Lynch Flying Service,United States,N
L2,LYC,Lynden Air Cargo,United States,N
,LXF,Lynx Air International,United States,N
,LYX,Lynx Aviation,Pakistan,N
MJ,LPR,L,Argentina,Y
,LAU,L,Colombia,N
,JNH,M & N Aviation,United States,N
,MCF,MAC Fotografica,Spain,N
,MRG,MANAG'AIR,France,N
,MPJ,MAP-Management and Planung,Austria,N
,TFG,MAS Airways,United Kingdom,N
M7,MAA,MasAir,Mexico,Y
IN,MAK,MAT Macedonian Airlines,Macedonia,Y
,MCC,MCC Aviation,South Africa,N
,MGA,MG Aviacion,Spain,N
,JLA,MIA Airlines,Romania,N
OM,MGL,MIAT Mongolian Airlines,Mongolia,Y
,MNC,MIT Airlines,Canada,N
,MKA,MK Airline,Ghana,N
MB,MNB,MNG Airlines,Turkey,Y
,EBF,MSR Flug-Charter,Germany,N
,MCV,MTC Aviacion,Mexico,N
,MAQ,Mac Aviation,Spain,N
,MCN,Mac Dan Aviation Corporation,United States,N
,MTD,MacKnight Airlines,Australia,N
CC,MCK,Macair Airlines,Australia,Y
,MCS,Macedonian Airlines,Greece,N
,MDH,Madina Air,Libya,N
DM,,Maersk,Denmark,Y
,MJB,Magic Blue Airlines,Netherlands,N
,MGR,Magna Air,Austria,N
,MLH,Mahalo Air,United States,N
W5,IRM,Mahan Air,Iran,Y
M2,MZS,Mahfooz Aviation,Gambia,N
,MAT,Maine Aviation,United States,N
,MAJ,Majestic Airlines,United States,N
,AKM,Mak Air,Kazakhstan,N
,MLG,Malagasy Airlines,Madagascar,N
,MLX,Malawi Express,Malawi,N
,MKK,Malaya Aviatsia Dona,Russia,N
MH,MAS,Malaysia Airlines,Malaysia,Y
,MAE,Mali Air,Austria,N
,VXP,Mali Air Express,Mali,N
,MTZ,Mali Airways,Mali,N
,MLC,Malila Airlift,Democratic Republic of the Congo,N
,MLS,Mall Airways,United States,N
,SCW,Malmo Aviation,Sweden,Y
,LOD,Malmoe Air Taxi,Sweden,N
TF,SCW,Malmö Aviation,Sweden,Y
R5,MAC,Malta Air Charter,Malta,Y
,MWS,Malta Wings,Malta,N
MA,MAH,Malév,Hungary,Y
,MLB,Manaf International Airways,Burundi,N
RI,MDL,Mandala Airlines,Indonesia,Y
AE,MDA,Mandarin Airlines,Taiwan,Y
JE,MNO,Mango,South Africa,Y
,MHN,Manhattan Air,United Kingdom,N
,MTO,Manitoulin Air Services,Canada,N
,MNR,Mann Air,United Kingdom,N
,MAN,Mannion Air Charter,United States,N
,MTS,Mantrust Asahi Airways,Indonesia,N
,MNX,Manx Airlines,United Kingdom,N
,MAD,Maple Air Services,Canada,N
,MAR,March Helicopters,United Kingdom,N
,MCP,Marcopolo Airways,Afghanistan,N
,MGI,Marghi Air,Nigeria,N
,MRK,Markair,United States,N
,MKO,Markoss Aviation,United Kingdom,N
6V,MRW,Mars RK,Ukraine,N
,MCE,Marshall Aerospace,United Kingdom,N
M7,MSL,Marsland Aviation,Sudan,N
,XMA,Martin Aviation Services,United States,N
,MBE,Martin-Baker,United Kingdom,N
MP,MPH,Martinair,Netherlands,Y
,MRA,Martinaire,United States,N
,MFA,Martyn Fiddler Associates,United Kingdom,N
,MVN,Marvin Limited,United Kingdom,N
,TRP,Maryland State Police,United States,N
,MTH,Massachusetts Institute of Technology,United States,N
,MSY,Massey University School of Aviation,New Zealand,N
,MSW,Master Airways,Serbia,N
,MPL,Master Planner,United States,N
,LMJ,Masterjet,Portugal,N
Q4,,Mastertop Linhas Aereas,Brazil,N
,MIA,Mauria,Mauritania,N
,MNV,Mauritanienne Aerienne Et Navale,Mauritania,N
,MRF,Mauritanienne Air Fret,Mauritania,N
,MWY,Mauritanienne Airways,Mauritania,N
,MDE,Mauritanienne De Transport Aerien,Mauritania,N
,MVR,Maverick Airways,United States,N
H5,MVL,Mavial Magadan Airlines,Russia,N
,MAI,Max Avia,Kyrgyzstan,N
,MSF,Max Sea Food,El Salvador,N
,MAX,Max-Aviation,Canada,N
8M,MXL,Maxair,Sweden,Y
,MXU,Maximus Air Cargo,United Arab Emirates,N
MY,MXJ,Maxjet Airways,United States,N
,MXS,Maxsus-Avia,Uzbekistan,N
,MXP,May Air Xpress,United States,N
MW,MYD,Maya Island Air,Belize,Y
,MYI,Mayair,Mexico,N
,MBS,Mbach Air,Malawi,N
,MCH,McAlpine Helicopters,United Kingdom,N
,MKL,McCall Aviation,United States,N
,DAC,McDonnell Douglas,United States,N
,MDS,McNeely Charter Services,United States,N
,MEK,Med-Trans of Florida,United States,N
,MDM,Medavia Company,Malta,N
,MRZ,Medical Air Rescue Services,Zimbabwe,N
,MCL,Medical Aviation Services,United Kingdom,N
,MDF,Mediterranean Air Freight,Greece,N
,MDY,Mediterranean Airways,Egypt,N
,MEJ,Medjet International,United States,N
,MGK,Mega,Kazakhstan,N
,MEL,Mega Linhas Aereas,Brazil,N
,MKN,Mekong Airlines,Cambodia,N
IM,MNJ,Menajet,Lebanon,N
,MXX,Merchant Express Aviation,Nigeria,N
,MEC,Mercury Aircourier Service,United States,N
,POV,Meridian,Ukraine,N
,MRD,Meridian Air Cargo,United States,N
,MHL,Meridian Airlines,Nigeria,N
,DSL,Meridian Aviation,United Kingdom,N
,MEM,Meridian Limited,Ukraine,N
IG,ISS,Meridiana,Italy,Y
,MEI,Merlin Airways,United States,N
MZ,MNA,Merpati Nusantara Airlines,Indonesia,Y
YV,ASH,Mesa Airlines,United States,Y
XJ,MES,Mesaba Airlines,United States,Y
,MSQ,Meta Linhas A,Brazil,N
,MET,Meteorological Research Flight,United Kingdom,N
,MER,Methow Aviation,United States,N
,MVI,Metro Business Aviation,United Kingdom,N
,MEX,Metro Express,United States,N
,MTR,Metroflight,United States,N
,MTJ,Metrojet,Hong Kong SAR of China,N
,PIX,Metropix UK,United Kingdom,N
,MPS,Metroplis,Netherlands,N
,MXB,Mex Blue,Mexico,N
,MJT,Mex-Jet,Mexico,N
MX,MXA,Mexicana de Aviaci,Mexico,Y
,MXT,Mexico Transportes Aereos,Mexico,N
,HUR,Miami Air Charter,United States,N
GL,BSK,Miami Air International,United States,N
,OWL,Miami Valley Aviation,United States,N
,MPT,Miapet-Avia,Armenia,N
,BIB,Michelin Air Services,France,N
,WIZ,Micromatter Technology Solutions,United Kingdom,N
,NYL,Mid Airlines,Sudan,N
,MPA,Mid-Pacific Airlines,United States,N
,MJR,Midamerica Jet,United States,N
ME,MEA,Middle East Airlines,Lebanon,Y
,MID,Midland Airport Services,United Kingdom,N
,MFR,Midline Air Freight,United States,N
,MIS,Midstate Airlines,United States,N
JI,MDW,Midway Airlines,United States,Y
,FLA,Midway Express,United States,N
,FAX,Midwest Air Freighters,United States,N
YX,MEP,Midwest Airlines,United States,Y
MY,MWA,Midwest Airlines (Egypt),Egypt,Y
,NIT,Midwest Aviation,United States,N
,MWT,Midwest Aviation Division,United States,N
,HTE,Midwest Helicopters De Mexico,Mexico,N
,MAB,Millardair,Canada,N
,RJM,Millen Corporation,United Kingdom,N
,MLK,Millennium Air,Nigeria,N
,MFS,Miller Flying Services,United States,N
,OXO,Million Air,United States,N
,MIM,Mimino,Russia,N
,NAB,Mina Airline Company,Egypt,N
,OMR,Minair,Central African Republic,N
,EBE,Minebea Technologies,United States,N
,MAZ,Mines Air Services Zambia,Zambia,N
,MNL,Miniliner,Italy,N
,MNS,Ministic Air,Canada,N
,WDG,Ministry of Agriculture,WATCHDOG,N
,LIR,Minsk Aircraft Overhaul Plant,Belarus,N
,MIR,Miramichi Air Service,Canada,N
,MIF,Miras,Kazakhstan,N
,MOS,Misr Overseas Airways,Egypt,N
,MAF,Mission Aviation Fellowship,Indonesia,N
,MSN,Missionair,Spain,N
,MRN,Missions Gouvernemtales Francaises,France,N
,BDG,Mississippi State University,United States,N
,MVA,Mississippi Valley Airways,United States,N
,MSA,Mistral Air,Italy,N
,MBO,Mobil Oil,Canada,N
,MXE,Mocambique Expresso,Mozambique,N
,MFZ,Mofaz Air,Malaysia,N
,MLE,Moldaeroservice,Moldova,N
2M,MDV,Moldavian Airlines,Moldova,Y
,MVG,Moldova,Moldova,N
,RRV,Mombasa Air Safari,Kenya,N
ZB,MON,Monarch Airlines,United Kingdom,Y
,MNH,Monarch Airlines,United States,N
8I,,Myway Airlines,Italy,Y
,MFC,Moncton Flying Club,Canada,N
,MDB,Monde Air Charters,United Kingdom,N
,MTI,Monerrey Air Taxi,Mexico,N
,MKY,Monky Aerotaxis,Mexico,N
YM,MGX,Montenegro Airlines,Montenegro,Y
,MNT,Montserrat Airways,Montserrat,N
,MNY,Mooney Aircraft Corporation,United States,N
,MAL,Morningstar Air Express,Canada,Y
,MSS,Morris Air Service,United States,N
,MRO,Morrison Flying Service,United States,N
3R,GAI,Moskovia Airlines,Russia,Y
,MPI,Mosphil Aero,Philippines,N
M9,MSI,Motor Sich,Ukraine,Y
NM,NZM,Mount Cook Airlines,New Zealand,N
,MTN,Mountain Air Cargo,United States,N
N4,MTC,Mountain Air Company,Sierra Leone,N
,PKP,Mountain Air Express,United States,N
,BRR,Mountain Air Service,United States,N
,MBI,Mountain Bird,United States,N
,MHA,Mountain High Aviation,United States,N
,MPC,Mountain Pacific Air,Canada,N
,MTV,Mountain Valley Air Service,United States,N
,MOW,Mowhawk Airlines,United States,N
,MDN,Mudan Airlines,Somali Republic,N
,CMJ,Mudanjiang General Aviation,China,N
,MTX,Multi Taxi,Mexico,N
,WBR,Multi-Aero,United States,N
,MFT,Multiflight,,N
,MNZ,Murmansk Aircompany,Russia,N
,MUA,Murray Air,United States,N
,MMR,Musrata Air Transport,Libya,N
,MAW,Mustique Airways,Barbados,N
,MYW,My Way Airlines,Italy,N
VZ,MYT,MyTravel Airways,United Kingdom,Y
UB,UBA,Myanma Airways,Myanmar,Y
8M,MMM,Myanmar Airways International,Myanmar,Y
,MYA,Myflug,Iceland,Y
,VKG,Mytravel Airways,Denmark,N
,NLG,NEL Cargo,Ivory Coast,N
,NHG,NHT Lineas Aereas,Brazil,N
,WAR,NZ Warbirds Association,New Zealand,N
,ANL,Nacoia Lda,Angola,N
,NHZ,Nada Air Service,Chad,N
,BFN,Compangnie Nationale Naganagani,Burkina Faso,N
,NAH,Nahanni Air Services Ltd,Canada,N
,NKL,Nakheel Aviation,United Arab Emirates,N
,MRE,Namibia Commerical Aviation,Namibia,N
,NDF,Namibian Defence Force,Namibia,N
,CNJ,Nanjing Airlines,China,N
DV,ACK,Nantucket Airlines,United States,N
,NYA,Nanyah Aviation,Israel,N
,NAP,Napier Air Service Inc,United States,N
,NCM,Nas Air,Angola,N
P9,,Nas Air,Mali,N
UE,NAS,Nasair,Eritrea,Y
,NJC,Nashville Jet Charters,United States,N
,NCO,Natalco Air Lines,S,N
,NTK,Natioanl Air Traffic Controllers Association,United States,N
,NSR,National Air Charter,Indonesia,N
,RFI,National Air Traffic Services,United Kingdom,N
,NAN,National Airlines,United States,N
N4,NCN,National Airlines,Chile,N
N7,ROK,National Airlines,United States,N
,NAL,National Airlines,United States,N
,KUS,National Airlines,South Africa,N
9O,,National Airways Cameroon,Cameroon,N
,LFI,National Airways Corporation,South Africa,N
,GTY,National Aviation Company,Egypt,N
,TNC,National Aviation Consultants,Canada,N
,NXT,National Express,United States,N
,GRD,National Grid,United Kingdom,N
,JTE,National Jet Express,Australia,N
,AND,National Jet Service,United States,N
NC,NJS,National Jet Systems,Australia,Y
,NAA,National Oceanic and Atmospheric Administration,United States,N
,NOL,National Overseas Airlines Company,Egypt,N
,NLS,Nationale Luchtvaartschool,Netherlands,N
,NAE,Nations Air Express Inc,United States,N
CE,NTW,Nationwide Airlines,South Africa,Y
,NWZ,Nationwide Airlines (Zambia),Zambia,N
,EVM,Natural Environment Research Council,United Kingdom,N
,NRR,Natureair,Costa Rica,N
,NRK,Naturelink Charter,South Africa,N
ON,RON,Nauru Air Corporation,Nauru,Y
,NVC,NAV CANADA,Canada,N
,NAV,Nav Flight Planning,Czech Republic,N
,NVP,Navegacao Aerea De Portugal,Portugal,N
,NAY,Navegacion Servicios Aereos Canarios SA,Spain,N
,IRI,Navid,Iran,N
,NVM,Naviera Mexicana,Mexico,N
,NVL,Navigator Airlines,Armenia,N
,XNV,Navinc Airlines Services,United States,N
1N,,Navitaire,United States,N
,XNS,Navtech System Support,Canada,N
,NZA,Nayzak Air Transport,Libya,N
,NEB,State of Nebraska,United States,N
,NEC,Necon Air,Nepal,N
,NCG,Nederlandse Kustwacht,Netherlands,N
,NFT,Nefteyugansk Aviation Division,Russia,N
,NLA,Neiltown Air,Canada,N
,NLC,Nelair Charters,South Africa,N
,CGE,Nelson Aviation College,New Zealand,N
RA,RNA,Nepal Airlines,Nepal,Y
NO,NOS,Neos,Italy,N
,TOX,Neosiam Airways,Thailand,N
,NSL,Neric,United Kingdom,N
1I,EJA,NetJets,United States,Y
,NET,Network Aviation Services,Nigeria,N
,NEZ,New England Air Express,United States,N
EJ,NEA,New England Airlines,United States,Y
,NHT,New Heights 291,South Africa,N
,NWD,New World Jet Corporation,United States,N
,NYH,New York Helicopter,United States,N
,GRY,New York State Police,United States,N
,KRC,New Zealand Air Defence Force,New Zealand,N
,HVA,Newair,United States,N
,NLT,Newfoundland Labrador Air Transport,Canada,N
2N,NTJ,NextJet,Sweden,Y
,NXF,Nextflight Aviation,United States,N
,NXS,Nexus Aviation,Nigeria,N
,NIS,Nicaraguense De Aviacion,Nicaragua,N
,NCN,Nicon Airways,Nigeria,N
,NGA,Nigeria Airways,Nigeria,N
,NGR,Nigerian Air Force,Nigeria,N
,NGX,Nigerian Global,Nigeria,N
,EXT,Night Express,Germany,N
HG,NLY,Niki,Austria,Y
,NKV,Nikolaev-Air,Ukraine,N
,NSA,Nile Safaris Aviation,Sudan,N
,NVA,Nile Valley Aviation Company,Egypt,N
,NLW,Nile Wings Aviation Services,Sudan,N
,NBS,Nimbus Aviation,United Kingdom,N
KZ,NCA,Nippon Cargo Airlines,Japan,N
,NVK,Nizhnevartovskavia,Russia,N
,SRG,Search and Rescue 202,United Kingdom,N
,SRD,Search and Rescue 22,United Kingdom,N
,NOH,No. 32 (The Royal) Squadron RAF,United Kingdom,N
,AKG,84 Squadron Royal Air Force @ RAF Akrotiri,United Kingdom,N
,NBL,Nobil Air,Moldova,N
DD,NOK,Nok Air,Thailand,Y
,NRL,Nolinor Aviation,Canada,N
,NMD,Nomad Aviation,Namibia,N
,NOC,Norcopter,Norway,N
,NEF,Nord-Flyg,Sweden,N
JH,NES,Nordeste Linhas Aereas Regionais,Brazil,N
6N,NRD,Nordic Regional,Sweden,N
,NVD,Nordic Solutions,Lithuania,N
,NDS,Nordstree (Australia),Australia,N
,NRT,Norestair,Spain,N
,NCF,Norfolk County Flight College,United Kingdom,Y
,NOA,Norontair,Canada,N
,HMF,Norrlandsflyg,Sweden,N
,NRX,Norse Air Charter,South Africa,N
,NIR,Norsk Flyrjeneste,Norway,N
,NOR,Norsk Helikopter,Norway,N
,DOC,Norsk Luftambulanse,Norway,N
,RTV,Nortavia,Portugal,N
,NAI,North Adria Aviation,Croatia,N
,NTM,North American Airlines,Canada,Y
,HMR,North American Charters,Canada,Y
,NAJ,North American Jet Charter Group,United States,N
,NAT,North Atlantic Air Inc,United States,N
,NFC,North Atlantic Cargo,Norway,N
,NBN,North British Airlines,United Kingdom,N
,NCB,North Caribou Flying Service Ltd,Canada,N
,NCC,North Coast Air Services Ltd,Canada,N
N9,,North Coast Aviation,Papua New Guinea,N
M3,NFA,North Flying,Denmark,N
,NRC,North Sea Airways,Netherlands,N
,SBX,North Star Air Cargo,United States,N
,NRV,North Vancouver Airlines,Canada,N
,NWW,North West Airlines,Australia,N
,PTO,North West Geomatics,Canada,N
,NEN,North-East Airlines,Nigeria,N
,VBG,North-West Air Transport Company - Vyborg,Russia,N
HW,NWL,North-Wright Airways,Canada,N
,NLL,Northafrican Air Transport,Libya,N
,NFL,Northaire Feight Lines,United States,N
,NSF,Northamptonshire School of Flying,United Kingdom,N
,NCE,Northcoast Executive Airlines,United States,N
,NEE,Northeast Airlines,United States,N
,NPX,Northeast Aviation,United States,N
NC,NAC,Northern Air Cargo,United States,N
,BYC,Northern Airlines Sanya,China,N
,NDA,Northern Airways,United States,N
,CMU,Northern Aviation Service,Thailand,N
U7,,Northern Dene Airways,Canada,Y
,NEX,Northern Executive Aviation,United Kingdom,N
,NIC,Northern Illinois Commuter,United States,N
,NTX,Northern Jet Management,United States,N
,NTA,Northern Thunderbird Air,Canada,N
,KOE,Northland Aviation,United States,N
,NSS,Northstar Aviation,United States,N
,NHL,Northumbria Helicopters,United Kingdom,N
,NAL,Northway Aviation Ltd,Canada,N
,NWE,Northwest Aero Associates,United States,N
NW,NWA,Northwest Airlines,United States,Y
FY,NWR,Northwest Regional Airlines,Australia,N
,NWT,Northwest Territorial Airways,Canada,N
